omega,dN,6dN,count
0,15,90,1
0,35,210,1
1,1,6,987
1,2,12,1320
1,3,18,730
1,4,24,843
1,5,30,2056
1,6,36,1125
1,7,42,1425
1,8,48,930
1,9,54,1081
1,10,60,1272
1,11,66,991
1,12,72,824
1,13,78,1188
1,14,84,1207
1,15,90,2019
1,16,96,778
1,17,102,585
1,18,108,588
1,19,114,744
1,20,120,1707
1,21,126,857
1,22,132,1015
1,23,138,748
1,24,144,498
1,25,150,853
1,26,156,891
1,27,162,616
1,28,168,867
1,29,174,653
1,30,180,1105
1,31,186,490
1,32,192,344
1,33,198,630
1,34,204,582
1,35,210,1684
1,36,216,446
1,37,222,607
1,38,228,345
1,39,234,350
1,40,240,992
1,41,246,488
1,42,252,595
1,43,258,401
1,44,264,474
1,45,270,476
1,46,276,286
1,47,282,338
1,48,288,498
1,49,294,421
1,50,300,690
1,51,306,449
1,52,312,225
1,53,318,269
1,54,324,359
1,55,330,723
1,56,336,356
1,57,342,366
1,58,348,252
1,59,354,189
1,60,360,328
1,61,366,267
1,62,372,326
1,63,378,357
1,64,384,211
1,65,390,612
1,66,396,170
1,67,402,173
1,68,408,238
1,69,414,220
1,70,420,514
1,71,426,188
1,72,432,155
1,73,438,144
1,74,444,137
1,75,450,378
1,76,456,181
1,77,462,256
1,78,468,157
1,79,474,191
1,80,480,208
1,81,486,103
1,82,492,157
1,83,498,120
1,84,504,187
1,85,510,239
1,86,516,160
1,87,522,92
1,88,528,105
1,89,534,124
1,90,540,234
1,91,546,175
1,92,552,135
1,93,558,114
1,94,564,48
1,95,570,173
1,96,576,104
1,97,582,104
1,98,588,123
1,99,594,131
1,100,600,188
1,101,606,82
1,102,612,74
1,103,618,91
1,104,624,75
1,105,630,206
1,106,636,91
1,107,642,62
1,108,648,64
1,109,654,36
1,110,660,167
1,111,666,73
1,112,672,98
1,113,678,55
1,114,684,71
1,115,690,79
1,116,696,47
1,117,702,69
1,118,708,51
1,119,714,97
1,120,720,101
1,121,726,55
1,122,732,27
1,123,738,48
1,124,744,36
1,125,750,103
1,126,756,55
1,127,762,52
1,128,768,47
1,129,774,24
1,130,780,93
1,131,786,30
1,132,792,58
1,133,798,61
1,134,804,56
1,135,810,49
1,136,816,34
1,137,822,18
1,138,828,35
1,139,834,31
1,140,840,62
1,141,846,31
1,142,852,28
1,143,858,20
1,144,864,23
1,145,870,68
1,146,876,13
1,147,882,36
1,148,888,20
1,149,894,23
1,150,900,39
1,151,906,19
1,152,912,21
1,153,918,29
1,154,924,38
1,155,930,45
1,156,936,27
1,157,942,8
1,158,948,25
1,159,954,21
1,160,960,37
1,161,966,21
1,162,972,13
1,163,978,13
1,164,984,9
1,165,990,24
1,166,996,11
1,167,1002,23
1,168,1008,21
1,169,1014,30
1,170,1020,25
1,171,1026,8
1,172,1032,7
1,173,1038,19
1,174,1044,11
1,175,1050,28
1,176,1056,16
1,177,1062,12
1,178,1068,8
1,179,1074,7
1,180,1080,30
1,181,1086,9
1,182,1092,10
1,183,1098,12
1,184,1104,12
1,185,1110,15
1,186,1116,5
1,187,1122,17
1,188,1128,7
1,189,1134,10
1,190,1140,19
1,191,1146,10
1,192,1152,6
1,193,1158,4
1,194,1164,5
1,195,1170,13
1,196,1176,8
1,197,1182,6
1,198,1188,15
1,199,1194,6
1,200,1200,8
1,>200,,246
2,1,6,1828
2,2,12,3896
2,3,18,2563
2,4,24,2085
2,5,30,5392
2,6,36,2014
2,7,42,4609
2,8,48,2690
2,9,54,2115
2,10,60,3631
2,11,66,2164
2,12,72,2868
2,13,78,3454
2,14,84,2430
2,15,90,4533
2,16,96,1770
2,17,102,2078
2,18,108,2090
2,19,114,1670
2,20,120,3555
2,21,126,1918
2,22,132,2790
2,23,138,2619
2,24,144,1039
2,25,150,2622
2,26,156,1832
2,27,162,1781
2,28,168,2719
2,29,174,1126
2,30,180,3201
2,31,186,1014
2,32,192,1328
2,33,198,2073
2,34,204,1011
2,35,210,4031
2,36,216,822
2,37,222,1942
2,38,228,1137
2,39,234,871
2,40,240,2745
2,41,246,795
2,42,252,1807
2,43,258,1209
2,44,264,1023
2,45,270,1435
2,46,276,636
2,47,282,1121
2,48,288,1311
2,49,294,867
2,50,300,1492
2,51,306,953
2,52,312,773
2,53,318,779
2,54,324,675
2,55,330,1703
2,56,336,818
2,57,342,1006
2,58,348,926
2,59,354,415
2,60,360,990
2,61,366,629
2,62,372,953
2,63,378,1112
2,64,384,375
2,65,390,1481
2,66,396,430
2,67,402,521
2,68,408,811
2,69,414,432
2,70,420,1468
2,71,426,331
2,72,432,588
2,73,438,460
2,74,444,316
2,75,450,946
2,76,456,298
2,77,462,896
2,78,468,505
2,79,474,366
2,80,480,569
2,81,486,256
2,82,492,532
2,83,498,375
2,84,504,409
2,85,510,631
2,86,516,290
2,87,522,275
2,88,528,400
2,89,534,244
2,90,540,472
2,91,546,380
2,92,552,341
2,93,558,383
2,94,564,132
2,95,570,549
2,96,576,229
2,97,582,297
2,98,588,395
2,99,594,172
2,100,600,498
2,101,606,153
2,102,612,252
2,103,618,324
2,104,624,147
2,105,630,508
2,106,636,157
2,107,642,236
2,108,648,218
2,109,654,110
2,110,660,446
2,111,666,110
2,112,672,266
2,113,678,214
2,114,684,162
2,115,690,254
2,116,696,97
2,117,702,225
2,118,708,177
2,119,714,158
2,120,720,244
2,121,726,140
2,122,732,103
2,123,738,122
2,124,744,90
2,125,750,245
2,126,756,114
2,127,762,110
2,128,768,173
2,129,774,60
2,130,780,230
2,131,786,81
2,132,792,132
2,133,798,152
2,134,804,61
2,135,810,195
2,136,816,65
2,137,822,68
2,138,828,101
2,139,834,59
2,140,840,205
2,141,846,52
2,142,852,102
2,143,858,82
2,144,864,38
2,145,870,151
2,146,876,53
2,147,882,134
2,148,888,63
2,149,894,42
2,150,900,103
2,151,906,29
2,152,912,68
2,153,918,57
2,154,924,62
2,155,930,100
2,156,936,39
2,157,942,45
2,158,948,63
2,159,954,32
2,160,960,84
2,161,966,45
2,162,972,51
2,163,978,53
2,164,984,18
2,165,990,111
2,166,996,29
2,167,1002,56
2,168,1008,59
2,169,1014,45
2,170,1020,70
2,171,1026,14
2,172,1032,33
2,173,1038,48
2,174,1044,25
2,175,1050,78
2,176,1056,20
2,177,1062,40
2,178,1068,23
2,179,1074,14
2,180,1080,69
2,181,1086,18
2,182,1092,47
2,183,1098,35
2,184,1104,21
2,185,1110,35
2,186,1116,8
2,187,1122,36
2,188,1128,17
2,189,1134,18
2,190,1140,46
2,191,1146,21
2,192,1152,15
2,193,1158,18
2,194,1164,16
2,195,1170,27
2,196,1176,14
2,197,1182,21
2,198,1188,26
2,199,1194,11
2,200,1200,21
2,>200,,720
3,1,6,920
3,2,12,3851
3,3,18,2907
3,4,24,1408
3,5,30,5148
3,6,36,942
3,7,42,5021
3,8,48,2646
3,9,54,1211
3,10,60,3836
3,11,66,1333
3,12,72,3234
3,13,78,2714
3,14,84,1368
3,15,90,3039
3,16,96,1180
3,17,102,2596
3,18,108,2565
3,19,114,1163
3,20,120,2235
3,21,126,1319
3,22,132,2412
3,23,138,3011
3,24,144,565
3,25,150,2815
3,26,156,1212
3,27,162,1604
3,28,168,2881
3,29,174,632
3,30,180,3175
3,31,186,614
3,32,192,1600
3,33,198,2319
3,34,204,496
3,35,210,3122
3,36,216,384
3,37,222,2009
3,38,228,1445
3,39,234,662
3,40,240,2617
3,41,246,298
3,42,252,1699
3,43,258,1088
3,44,264,756
3,45,270,1517
3,46,276,450
3,47,282,1314
3,48,288,1088
3,49,294,567
3,50,300,994
3,51,306,602
3,52,312,966
3,53,318,919
3,54,324,327
3,55,330,1371
3,56,336,519
3,57,342,800
3,58,348,1097
3,59,354,323
3,60,360,1045
3,61,366,427
3,62,372,884
3,63,378,1108
3,64,384,143
3,65,390,1347
3,66,396,284
3,67,402,651
3,68,408,878
3,69,414,236
3,70,420,1406
3,71,426,153
3,72,432,712
3,73,438,537
3,74,444,250
3,75,450,788
3,76,456,128
3,77,462,999
3,78,468,473
3,79,474,197
3,80,480,525
3,81,486,170
3,82,492,582
3,83,498,386
3,84,504,245
3,85,510,488
3,86,516,195
3,87,522,362
3,88,528,479
3,89,534,151
3,90,540,355
3,91,546,240
3,92,552,321
3,93,558,419
3,94,564,98
3,95,570,581
3,96,576,140
3,97,582,250
3,98,588,384
3,99,594,87
3,100,600,519
3,101,606,99
3,102,612,261
3,103,618,322
3,104,624,81
3,105,630,441
3,106,636,61
3,107,642,254
3,108,648,241
3,109,654,57
3,110,660,418
3,111,666,44
3,112,672,244
3,113,678,189
3,114,684,97
3,115,690,239
3,116,696,62
3,117,702,254
3,118,708,141
3,119,714,71
3,120,720,158
3,121,726,96
3,122,732,123
3,123,738,150
3,124,744,62
3,125,750,179
3,126,756,74
3,127,762,115
3,128,768,169
3,129,774,39
3,130,780,178
3,131,786,54
3,132,792,130
3,133,798,152
3,134,804,22
3,135,810,139
3,136,816,58
3,137,822,70
3,138,828,124
3,139,834,27
3,140,840,184
3,141,846,22
3,142,852,108
3,143,858,106
3,144,864,32
3,145,870,130
3,146,876,24
3,147,882,144
3,148,888,56
3,149,894,27
3,150,900,112
3,151,906,27
3,152,912,77
3,153,918,67
3,154,924,35
3,155,930,59
3,156,936,24
3,157,942,49
3,158,948,62
3,159,954,28
3,160,960,82
3,161,966,46
3,162,972,49
3,163,978,64
3,164,984,21
3,165,990,83
3,166,996,17
3,167,1002,30
3,168,1008,63
3,169,1014,15
3,170,1020,75
3,171,1026,11
3,172,1032,56
3,173,1038,42
3,174,1044,8
3,175,1050,71
3,176,1056,6
3,177,1062,46
3,178,1068,27
3,179,1074,15
3,180,1080,51
3,181,1086,10
3,182,1092,48
3,183,1098,26
3,184,1104,7
3,185,1110,22
3,186,1116,8
3,187,1122,36
3,188,1128,27
